company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,filing_type,parent_id,relationship,claims_count,inventors
SpaceX,SEED-SPA-0003,US010024064,Low-latency network routing for LEO satellite constellations,[Sample] Low-latency network routing for LEO satellite constellations.,patent_application,pending,SpaceX,US,2022-06-27,2022,2025-03-27,2025.0,H04L45/00,Satellite / Wireless Comms,1,FAM-SPA-0001,3,,,,26,
SpaceX,SEED-SPA-0004,EP010024065,Satellite bus thermal management system,[Sample] Satellite bus thermal management system.,patent_application,pending,SpaceX,EP,2017-03-18,2017,2018-11-16,2018.0,B64G1/50,Spacecraft / Launch Systems,3,FAM-SPA-0001,7,,,,22,
SpaceX,SEED-SPA-0005,US010024066,Intersatellite optical communication link system,[Sample] Intersatellite optical communication link system.,granted_patent,granted,SpaceX,US,2023-01-05,2023,2026-05-12,2026.0,H04B10/00,Satellite / Wireless Comms,4,FAM-SPA-0001,4,,,,27,
SpaceX,SEED-SPA-0006,WO010024067,Ground terminal tracking antenna with MEMS steering,[Sample] Ground terminal tracking antenna with MEMS steering.,granted_patent,granted,SpaceX,WO,2014-09-19,2014,2017-03-16,2017.0,H01Q3/22,Antenna Design,2,FAM-SPA-0002,3,,,,21,
SpaceX,SEED-SPA-0007,WO010024068,Radio frequency interference mitigation for satellite terminals,[Sample] Radio frequency interference mitigation for satellite terminals.,patent_application,pending,SpaceX,WO,2023-05-18,2023,2025-01-28,2025.0,H04B1/10,Satellite / Wireless Comms,1,FAM-SPA-0002,5,,,,10,
SpaceX,SEED-SPA-0008,US010024069,Propellant mass gauging for spacecraft,[Sample] Propellant mass gauging for spacecraft.,patent_application,pending,SpaceX,US,2018-11-09,2018,2021-01-23,2021.0,B64G1/40,Spacecraft / Launch Systems,3,FAM-SPA-0002,6,,,,17,
SpaceX,SEED-SPA-0009,US010024070,Satellite constellation deployment and maintenance,[Sample] Satellite constellation deployment and maintenance.,patent_application,pending,SpaceX,US,2014-03-06,2014,2016-11-08,2016.0,B64G1/10,Spacecraft / Launch Systems,4,FAM-SPA-0003,2,,,,22,
SpaceX,SEED-SPA-0010,US010024071,Wideband phased array with digital beamforming,[Sample] Wideband phased array with digital beamforming.,granted_patent,granted,SpaceX,US,2023-10-05,2023,2026-10-01,2026.0,H01Q21/00,Antenna Design,2,FAM-SPA-0003,2,,,,12,
SpaceX,SEED-SPA-0011,US010024072,Frequency allocation system for broadband satellite networks,[Sample] Frequency allocation system for broadband satellite networks.,patent_application,pending,SpaceX,US,2016-05-16,2016,2019-11-11,2019.0,H04W16/14,Satellite / Wireless Comms,5,FAM-SPA-0003,3,,,,8,
SpaceX,SEED-SPA-0012,EP010024073,Reusable rocket landing leg deployment mechanism,[Sample] Reusable rocket landing leg deployment mechanism.,granted_patent,granted,SpaceX,EP,2016-12-21,2016,2019-09-26,2019.0,B64G1/62,Spacecraft / Launch Systems,2,FAM-SPA-0004,6,,,,16,
SpaceX,SEED-SPA-0013,US010024074,Cryogenic propellant transfer in microgravity,[Sample] Cryogenic propellant transfer in microgravity.,granted_patent,granted,SpaceX,US,2018-10-13,2018,2020-05-09,2020.0,F17C7/00,Spacecraft / Launch Systems,2,FAM-SPA-0004,6,,,,26,
SpaceX,SEED-SPA-0014,EP010024075,Thermal protection tiles for reusable launch vehicles,[Sample] Thermal protection tiles for reusable launch vehicles.,patent_application,pending,SpaceX,EP,2015-12-06,2015,2016-11-15,2016.0,B64C1/38,Aeronautics / Structures,5,FAM-SPA-0004,5,,,,20,
SpaceX,SEED-SPA-0015,EP010024076,High-gain antenna with automated pointing for moving platforms,[Sample] High-gain antenna with automated pointing for moving platforms.,granted_patent,granted,SpaceX,EP,2019-05-25,2019,2022-08-17,2022.0,H01Q1/32,Antenna Design,3,FAM-SPA-0005,7,,,,16,
SpaceX,SEED-SPA-0016,US010024077,Satellite attitude control via reaction wheels,[Sample] Satellite attitude control via reaction wheels.,granted_patent,granted,SpaceX,US,2015-12-07,2015,2018-07-05,2018.0,B64G1/28,Spacecraft / Launch Systems,1,FAM-SPA-0005,1,,,,29,
SpaceX,SEED-SPA-0017,EP010024078,Link budget optimization for satellite broadband,[Sample] Link budget optimization for satellite broadband.,granted_patent,granted,SpaceX,EP,2019-08-24,2019,2020-11-10,2020.0,H04B7/185,Satellite / Wireless Comms,2,FAM-SPA-0005,4,,,,11,
SpaceX,SEED-SPA-0018,WO010024079,Phased array calibration system and method,[Sample] Phased array calibration system and method.,patent_application,pending,SpaceX,WO,2024-03-13,2024,2027-09-02,2027.0,H01Q3/00,Antenna Design,3,FAM-SPA-0006,7,,,,27,
SpaceX,SEED-SPA-0019,WO010024080,Signal processing for satellite uplink interference rejection,[Sample] Signal processing for satellite uplink interference rejection.,patent_application,pending,SpaceX,WO,2014-03-09,2014,2016-08-25,2016.0,H04B7/15,Signal Processing,3,FAM-SPA-0006,6,,,,8,
SpaceX,SEED-SPA-0020,US010024081,LEO satellite handover management for ground users,[Sample] LEO satellite handover management for ground users.,granted_patent,granted,SpaceX,US,2016-09-01,2016,2019-01-09,2019.0,H04W36/00,Satellite / Wireless Comms,6,FAM-SPA-0006,5,,,,23,
SpaceX,SEED-SPA-0021,US010024082,Metasurface-based flat lens antenna,[Sample] Metasurface-based flat lens antenna.,patent_application,pending,SpaceX,US,2016-01-12,2016,2019-02-22,2019.0,H01Q15/00,Antenna Design,5,FAM-SPA-0007,6,,,,27,
